building,name,opening week,opening sat,opening sun,location,url
aðalbygging,Aðalbygging,7:30-18:00,Lokað,Lokað,"Sæmundargötu 2, 102 Reykjavík",https://www.hi.is/adalbygging
askja,Askja,7:30-18:00,Lokað,Lokað,"Sturlugötu 7, 102 Reykjavík",https://www.hi.is/askja
Askja,Askja,7:30-18:00,Lokað,Lokað,"Sturlugötu 7, 102 Reykjavík",https://www.hi.is/askja
ár-nag-arður,Árnagaður,7:30-18:00,Lokað,Lokað,"Sturlugötu 1, 102 Reykjavík",https://www.hi.is/arnagardur
Árnagarður,Árnagarður,7:30-18:00,Lokað,Lokað,"Sturlugötu 1, 102 Reykjavík",https://www.hi.is/arnagardur
eirberg,Eirberg,7:30-16:00,Lokað,Lokað,"Eiríksgötu 34 (við Landspítala), 101 Reykjavík",https://www.hi.is/eirberg
Eirberg,Eirberg,7:30-16:00,Lokað,Lokað,"Eiríksgötu 34 (við Landspítala), 101 Reykjavík",https://www.hi.is/eirberg
gróska,Gróska,8:00-17:00,Lokað,Lokað,"Bjargargötu 1, 102 Reykjavík",https://www.hi.is/haskolinn/groska
Gróska,Gróska,8:00-17:00,Lokað,Lokað,"Bjargargötu 1, 102 Reykjavík",https://www.hi.is/haskolinn/groska
hagi,Hagi,7:30-16:00,Lokað,Lokað,"Hofsvallagötu 53, 107 Reykjavík",https://www.hi.is/haskolinn/hagi
Hagi,Hagi,7:30-16:00,Lokað,Lokað,"Hofsvallagötu 53, 107 Reykjavík",https://www.hi.is/haskolinn/hagi
háskólatorg,Háskólatorg,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 4, 102 Reykjavík",https://www.hi.is/haskolinn/haskolatorg
háskóla-torg,Háskólatorg,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 4, 102 Reykjavík",https://www.hi.is/haskolinn/haskolatorg
Háskólatorg,Háskólatorg,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 4, 102 Reykjavík",https://www.hi.is/haskolinn/haskolatorg
gimli,Gimli,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 10, 102 Reykjavík",https://www.hi.is/gimli
Gimli,Gimli,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 10, 102 Reykjavík",https://www.hi.is/gimli
íþróttahús,Íþróttahús,7:00-22:00/föstud. 7-20,8:00-18:00,Lokað,"Sæmundargötu 6, 102 Reykjavík",https://www.hi.is/haskolinn/ithrottahus
Íþróttahús,Íþróttahús,7:00-22:00/föstud. 7-20,8:00-18:00,Lokað,"Sæmundargötu 6, 102 Reykjavík",https://www.hi.is/haskolinn/ithrottahus
laugarvatn,Laugarvatn,Samkomulag,Lokað,Lokað,"Lindarbraut 4, 840 Laugarvatni",https://www.hi.is/haskolinn/laugarvatn
Laugarvatn,Laugarvatn,Samkomulag,Lokað,Lokað,"Lindarbraut 4, 840 Laugarvatni",https://www.hi.is/haskolinn/laugarvatn
lækna-garður,Læknagarður,7:30-17:00,Lokað,Lokað,"Vatnsmýrarvegi 16 (við Landspítala), 101 Reykjavík",https://www.hi.is/laeknagardur
lækna-garða,Læknagarður,7:30-17:00,Lokað,Lokað,"Vatnsmýrarvegi 16 (við Landspítala), 101 Reykjavík",https://www.hi.is/laeknagardur
Læknagarður,Læknagarður,7:30-17:00,Lokað,Lokað,"Vatnsmýrarvegi 16 (við Landspítala), 101 Reykjavík",https://www.hi.is/laeknagardur
lögberg,Lögberg,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 8, 102 Reykjavík",https://www.hi.is/logberg
Lögberg,Lögberg,7:30-19:00,7:30-17:00,Lokað,"Sæmundargötu 8, 102 Reykjavík",https://www.hi.is/logberg
nes-haga,Neshagi,7:30-16:00,Lokað,Lokað,"Neshaga 16, 107 Reykjavík",https://www.hi.is/neshagi_16
Neshagi,Neshagi,7:30-16:00,Lokað,Lokað,"Neshaga 16, 107 Reykjavík",https://www.hi.is/neshagi_16
oddi,Oddi,7:30-19:00,7:30-17:00,Lokað,"Sturlugötu 3, 102 Reykjavík",https://www.hi.is/oddi
Oddi,Oddi,7:30-19:00,7:30-17:00,Lokað,"Sturlugötu 3, 102 Reykjavík",https://www.hi.is/oddi
setberg,Setberg,8:30-12:00/13:00-16:00,Lokað,Lokað,"Suðurgötu 43, 102 Reykjavík",https://www.hi.is/setberg
Setberg,Setberg,8:30-12:00/13:00-16:00,Lokað,Lokað,"Suðurgötu 43, 102 Reykjavík",https://www.hi.is/setberg
skip-holt,Skipholt 37,7:30-16:00,Lokað,Lokað,"Skipholti 37, 105 Reykjavík",https://www.hi.is/skipholt_37
